Race,Driver,LapNumber,LapTime,Compound,Compound2,TyreLife,Position,Speedl1,Speedl2,SpeedFL,SpeedST,AirTemp,TrackTemp,Humidity,WindSpeed,Rainfall,RainFall2
Bahrain Grand Prix,SAI,1,0 days 00:01:40.620000,SOFT,0,4,5,233,249,280,256,18.3,23.8,49,0.9,FALSE,0
Bahrain Grand Prix,SAI,2,0 days 00:01:37.236000,SOFT,0,5,5,235,244,279,297,18.3,23.8,49,1.5,FALSE,0
Bahrain Grand Prix,SAI,3,0 days 00:01:37.080000,SOFT,0,6,5,233,246,280,300,18.3,23.8,49,1,FALSE,0
Bahrain Grand Prix,SAI,4,0 days 00:01:37.264000,SOFT,0,7,5,234,245,285,304,18.3,23.6,49,0.7,FALSE,0
Bahrain Grand Prix,SAI,5,0 days 00:01:38.032000,SOFT,0,8,5,232,245,286,324,18.3,23.5,50,1.5,FALSE,0
Bahrain Grand Prix,SAI,6,0 days 00:01:37.741000,SOFT,0,9,5,233,243,286,325,18.3,23.5,49,0.6,FALSE,0
Bahrain Grand Prix,SAI,7,0 days 00:01:38.260000,SOFT,0,10,5,234,242,286,326,18.3,23.7,50,0.5,FALSE,0
Bahrain Grand Prix,SAI,8,0 days 00:01:38.183000,SOFT,0,11,5,232,246,287,316,18.2,23.7,50,1.1,FALSE,0
Bahrain Grand Prix,SAI,9,0 days 00:01:38.030000,SOFT,0,12,5,234,247,285,323,18.2,23.5,50,0.6,FALSE,0
Bahrain Grand Prix,SAI,10,0 days 00:01:37.608000,SOFT,0,13,5,233,248,287,319,18.2,23.5,50,0.5,FALSE,0
Bahrain Grand Prix,SAI,11,0 days 00:01:37.656000,SOFT,0,14,3,232,252,280,324,18.2,23.4,50,0.6,FALSE,0
Bahrain Grand Prix,SAI,12,0 days 00:01:37.650000,SOFT,0,15,2,235.2631579,248,277,299,18.3,23.6,50,0.5,FALSE,0
Bahrain Grand Prix,SAI,13,0 days 00:01:37.243000,SOFT,0,16,2,233,250,277,298,18.3,23.5,50,0.4,FALSE,0
